timestamp,event_type,ear,mar,head_tilt_degrees,attention_score,details
2026-05-01 13:05:58,DROWSY,0.2265,0.2174,-6.12,53,Consecutive frame threshold reached
2026-05-01 13:06:01,DROWSY,0.2188,0.2278,-7.92,52,Consecutive frame threshold reached
2026-05-01 13:06:05,DROWSY,0.1641,0.1889,-2.39,46,Consecutive frame threshold reached
2026-05-01 13:06:10,DROWSY,0.2420,0.2240,-6.50,54,Consecutive frame threshold reached
2026-05-01 13:06:23,DROWSY,0.2456,0.1750,-4.70,55,Consecutive frame threshold reached
2026-05-01 13:06:27,DROWSY,0.2181,0.1756,11.31,52,Consecutive frame threshold reached
2026-05-01 13:06:31,DROWSY,0.0329,0.1785,11.41,40,Consecutive frame threshold reached
2026-05-01 13:06:35,DROWSY,0.1800,0.1809,13.92,48,Consecutive frame threshold reached
2026-05-01 13:06:38,DROWSY,0.2163,0.1890,12.68,52,Consecutive frame threshold reached
2026-05-01 13:06:41,DROWSY,0.2047,0.2166,11.40,50,Consecutive frame threshold reached
2026-05-01 13:06:50,DROWSY,0.0280,0.1747,5.39,40,Consecutive frame threshold reached
2026-05-01 13:06:54,HEAD TILT,0.2142,0.1509,-17.24,55,Consecutive frame threshold reached
2026-05-01 13:06:54,DROWSY,0.2164,0.1574,-15.65,31,Consecutive frame threshold reached
2026-05-01 13:07:02,DROWSY,0.1089,0.1609,-35.94,11,Consecutive frame threshold reached
2026-05-01 13:07:02,HEAD TILT,0.1089,0.1609,-35.94,11,Consecutive frame threshold reached
2026-05-01 13:07:05,DROWSY,0.2150,0.1505,-35.94,22,Consecutive frame threshold reached
2026-05-01 13:07:05,HEAD TILT,0.2148,0.1520,-35.47,21,Consecutive frame threshold reached
2026-05-01 13:07:08,DROWSY,0.2059,0.2044,-36.25,21,Consecutive frame threshold reached
2026-05-01 13:07:08,HEAD TILT,0.2099,0.2079,-35.84,21,Consecutive frame threshold reached
2026-05-01 13:07:21,HEAD TILT,0.2093,0.2363,22.46,56,Consecutive frame threshold reached
2026-05-01 13:07:22,DROWSY,0.2337,0.2456,22.74,38,Consecutive frame threshold reached
2026-05-01 13:07:32,HEAD TILT,0.2518,0.1901,-17.63,79,Consecutive frame threshold reached
2026-05-01 13:07:35,HEAD TILT,0.1219,0.2011,27.67,20,Consecutive frame threshold reached
2026-05-01 13:07:35,DROWSY,0.1404,0.2078,26.84,18,Consecutive frame threshold reached
2026-05-01 13:07:38,HEAD TILT,0.1968,0.1931,17.26,62,Consecutive frame threshold reached
2026-05-01 13:07:41,HEAD TILT,0.3204,0.2862,25.75,75,Consecutive frame threshold reached
2026-05-01 13:07:42,DROWSY,0.1498,0.2607,15.07,25,Consecutive frame threshold reached
2026-05-01 13:07:45,DROWSY,0.1935,0.2171,14.57,49,Consecutive frame threshold reached
2026-05-01 13:07:50,DROWSY,0.2309,0.1976,-10.81,53,Consecutive frame threshold reached
2026-05-01 13:07:51,HEAD TILT,0.2955,0.1533,-23.48,76,Consecutive frame threshold reached
2026-05-01 13:07:56,DROWSY,0.2263,0.1781,1.49,53,Consecutive frame threshold reached
2026-05-01 13:08:01,DROWSY,0.2445,0.1917,-3.32,54,Consecutive frame threshold reached
2026-05-01 13:08:06,DROWSY,0.2475,0.1943,-1.99,55,Consecutive frame threshold reached
2026-05-01 13:08:12,HEAD TILT,0.0356,0.1747,-19.08,25,Consecutive frame threshold reached
2026-05-01 13:08:12,DROWSY,0.0352,0.1746,-18.11,18,Consecutive frame threshold reached
2026-05-01 13:08:16,DROWSY,0.2107,0.1993,-13.89,51,Consecutive frame threshold reached
2026-05-01 13:08:21,DROWSY,0.2272,0.2612,8.70,53,Consecutive frame threshold reached
2026-05-01 13:08:26,HEAD TILT,0.1570,0.2583,24.35,59,Consecutive frame threshold reached
2026-05-01 13:08:29,DROWSY,0.2348,0.2128,-4.98,53,Consecutive frame threshold reached
2026-05-01 13:08:32,DROWSY,0.1906,0.2306,-2.57,49,Consecutive frame threshold reached
2026-05-01 13:08:35,DROWSY,0.2103,0.2129,-5.47,51,Consecutive frame threshold reached
2026-05-01 13:08:38,DROWSY,0.2067,0.1740,-6.31,51,Consecutive frame threshold reached
2026-05-01 13:08:41,DROWSY,0.2165,0.1758,-6.45,52,Consecutive frame threshold reached
2026-05-01 13:08:44,DROWSY,0.2296,0.1737,-6.41,53,Consecutive frame threshold reached
2026-05-01 13:08:47,DROWSY,0.2342,0.1771,-6.58,53,Consecutive frame threshold reached
2026-05-01 13:08:51,DROWSY,0.1962,0.1874,0.00,50,Consecutive frame threshold reached
2026-05-01 13:08:54,DROWSY,0.1762,0.1722,-9.30,48,Consecutive frame threshold reached
2026-05-01 13:08:57,DROWSY,0.2049,0.1800,-6.52,50,Consecutive frame threshold reached
2026-05-01 13:09:09,DROWSY,0.2378,0.2266,-7.87,54,Consecutive frame threshold reached
2026-05-01 13:09:13,DROWSY,0.2033,0.1745,-7.57,50,Consecutive frame threshold reached
2026-05-01 13:09:17,DROWSY,0.2300,0.1731,-6.80,53,Consecutive frame threshold reached
2026-05-01 13:09:25,DROWSY,0.2494,0.1705,-5.65,55,Consecutive frame threshold reached
2026-05-01 13:09:30,DROWSY,0.2030,0.1737,-6.41,50,Consecutive frame threshold reached
2026-05-01 13:11:33,DROWSY,0.0359,0.1908,-37.05,13,Consecutive frame threshold reached
2026-05-01 13:11:34,HEAD TILT,0.0381,0.1988,-32.74,11,Consecutive frame threshold reached
2026-05-01 13:11:39,HEAD TILT,0.2476,0.1984,-16.91,38,Consecutive frame threshold reached
2026-05-01 13:11:39,DROWSY,0.2400,0.1902,-16.43,33,Consecutive frame threshold reached
2026-05-01 13:11:42,DROWSY,0.0987,0.1659,3.18,40,Consecutive frame threshold reached
